No.     Time           Source                Destination           Protocol Length Info
     52 3.901767       192.168.1.135         192.168.1.142         TCP      164    32431 → 8009 [PSH, ACK] Seq=1 Ack=1 Win=252 Len=110 [TCP segment of a reassembled PDU]
     53 3.964778       192.168.1.135         172.64.155.209        TCP      55     50297 → 443 [ACK] Seq=1 Ack=1 Win=251 Len=1 [TCP segment of a reassembled PDU]
     54 3.983676       172.64.155.209        192.168.1.135         TCP      66     443 → 50297 [ACK] Seq=1 Ack=2 Win=16 Len=0 SLE=1 SRE=2
     55 4.006640       192.168.1.142         192.168.1.135         TCP      164    8009 → 32431 [PSH, ACK] Seq=1 Ack=111 Win=1161 Len=110 [TCP segment of a reassembled PDU]
     56 4.060542       192.168.1.135         192.168.1.142         TCP      54     32431 → 8009 [ACK] Seq=111 Ack=111 Win=251 Len=0
     57 4.508066       192.168.1.135         31.13.83.51           TLSv1.2  122    Application Data
     58 4.524083       31.13.83.51           192.168.1.135         TCP      60     443 → 16621 [ACK] Seq=1 Ack=69 Win=294 Len=0
     59 4.603097       31.13.83.51           192.168.1.135         TLSv1.2  124    Application Data
     60 4.649994       192.168.1.135         31.13.83.51           TCP      54     16621 → 443 [ACK] Seq=69 Ack=71 Win=255 Len=0
     61 5.096605       192.168.1.135         141.227.128.128       TCP      55     34007 → 443 [ACK] Seq=1 Ack=1 Win=254 Len=1 [TCP segment of a reassembled PDU]
     62 5.112954       141.227.128.128       192.168.1.135         TCP      66     443 → 34007 [ACK] Seq=1 Ack=2 Win=501 Len=0 SLE=1 SRE=2
     63 5.288762       192.168.1.135         192.168.1.128         TCP      164    22275 → 8009 [PSH, ACK] Seq=111 Ack=111 Win=251 Len=110 [TCP segment of a reassembled PDU]
     64 5.290405       192.168.1.128         192.168.1.135         TCP      164    8009 → 22275 [PSH, ACK] Seq=111 Ack=221 Win=1881 Len=110 [TCP segment of a reassembled PDU]
     65 5.335941       192.168.1.135         192.168.1.128         TCP      54     22275 → 8009 [ACK] Seq=221 Ack=221 Win=250 Len=0
     66 5.587209       192.168.1.135         104.18.19.125         TCP      66     22892 → 443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=256 SACK_PERM
     67 5.595115       142.251.140.234       192.168.1.135         UDP      317    443 → 60894 Len=275
     68 5.604510       104.18.19.125         192.168.1.135         TCP      66     443 → 22892 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1400 SACK_PERM WS=8192
     69 5.604704       192.168.1.135         104.18.19.125         TCP      54     22892 → 443 [ACK] Seq=1 Ack=1 Win=65280 Len=0
     70 5.608369       192.168.1.135         104.18.19.125         TLSv1.3  571    Client Hello (SNI=api3.cursor.sh)
     71 5.608972       192.168.1.135         142.251.140.234       UDP      75     60894 → 443 Len=33
     72 5.624677       104.18.19.125         192.168.1.135         TCP      60     443 → 22892 [ACK] Seq=1 Ack=518 Win=131072 Len=0
     73 5.626445       104.18.19.125         192.168.1.135         TLSv1.3  1506   Server Hello, Change Cipher Spec
     74 5.626445       104.18.19.125         192.168.1.135         TLSv1.3  1402   Application Data
     75 5.635280       192.168.1.135         104.18.19.125         TCP      54     22892 → 443 [FIN, ACK] Seq=518 Ack=2801 Win=65280 Len=0
     76 5.652182       104.18.19.125         192.168.1.135         TCP      60     443 → 22892 [FIN, ACK] Seq=2801 Ack=519 Win=131072 Len=0
     77 5.653039       192.168.1.135         104.18.19.125         TCP      54     22892 → 443 [ACK] Seq=519 Ack=2802 Win=65280 Len=0
     78 6.008871       192.168.1.135         216.58.205.42         TCP      55     18078 → 443 [ACK] Seq=1 Ack=1 Win=255 Len=1 [TCP segment of a reassembled PDU]
     79 6.023748       216.58.205.42         192.168.1.135         TCP      66     443 → 18078 [ACK] Seq=1 Ack=2 Win=1043 Len=0 SLE=1 SRE=2
     80 6.137265       fe80::1138:e6ee:2535:242d fe80::1               DNS      96     Standard query 0x5659 A image.lemonpi.io
     81 6.138684       fe80::1               fe80::1138:e6ee:2535:242d DNS      112    Standard query response 0x5659 A image.lemonpi.io A 34.110.129.219
     82 6.919147       f4:fc:49:1d:66:e0     IEEE-1905.1-Control   ieee1905 225    Topology discovery
     83 7.524563       192.168.1.135         224.0.0.22            IGMPv3   54     Membership Report / Leave group 224.168.100.1
     84 7.841921       192.168.1.135         224.0.0.22            IGMPv3   54     Membership Report / Leave group 224.168.100.1
     85 7.986398       192.168.1.135         104.18.19.125         TCP      55     30813 → 443 [ACK] Seq=1 Ack=1 Win=252 Len=1 [TCP segment of a reassembled PDU]
     86 8.004195       104.18.19.125         192.168.1.135         TCP      66     443 → 30813 [ACK] Seq=1 Ack=2 Win=16 Len=0 SLE=1 SRE=2
     87 8.178173       192.168.1.135         224.0.0.22            IGMPv3   54     Membership Report / Join group 224.168.100.1 for any sources
     88 8.335752       192.168.1.135         224.0.0.22            IGMPv3   54     Membership Report / Join group 224.168.100.1 for any sources
     89 8.498047       52.98.200.178         192.168.1.135         TLSv1.2  91     Application Data
     90 8.498047       52.98.200.178         192.168.1.135         TLSv1.2  96     Application Data
     91 8.498047       52.98.200.178         192.168.1.135         TLSv1.2  87     Application Data
     92 8.498047       52.98.200.178         192.168.1.135         TLSv1.2  87     Application Data
     93 8.514517       192.168.1.135         52.98.200.178         TLSv1.2  124    Application Data, Application Data
     94 8.585072       52.98.200.178         192.168.1.135         TCP      60     443 → 32457 [ACK] Seq=146 Ack=71 Win=253 Len=0
     95 8.746450       192.168.1.135         104.18.19.125         TCP      66     22893 → 443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=256 SACK_PERM
     96 8.762088       104.18.19.125         192.168.1.135         TCP      66     443 → 22893 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1400 SACK_PERM WS=8192
     97 8.762200       192.168.1.135         104.18.19.125         TCP      54     22893 → 443 [ACK] Seq=1 Ack=1 Win=65280 Len=0
     98 8.764372       192.168.1.135         104.18.19.125         TLSv1.3  571    Client Hello (SNI=api3.cursor.sh)
     99 8.780056       104.18.19.125         192.168.1.135         TCP      60     443 → 22893 [ACK] Seq=1 Ack=518 Win=131072 Len=0
    100 8.783376       104.18.19.125         192.168.1.135         TLSv1.3  1506   Server Hello, Change Cipher Spec
    101 8.783376       104.18.19.125         192.168.1.135         TLSv1.3  1403   Application Data
    102 8.787755       192.168.1.135         104.18.19.125         TCP      54     22893 → 443 [FIN, ACK] Seq=518 Ack=2802 Win=65280 Len=0
    103 8.804477       104.18.19.125         192.168.1.135         TCP      60     443 → 22893 [FIN, ACK] Seq=2802 Ack=519 Win=131072 Len=0
    104 8.804763       192.168.1.135         104.18.19.125         TCP      54     22893 → 443 [ACK] Seq=519 Ack=2803 Win=65280 Len=0
    105 9.024697       192.168.1.135         192.168.1.142         TCP      164    32431 → 8009 [PSH, ACK] Seq=111 Ack=111 Win=251 Len=110 [TCP segment of a reassembled PDU]
    106 9.128370       192.168.1.142         192.168.1.135         TCP      164    8009 → 32431 [PSH, ACK] Seq=111 Ack=221 Win=1161 Len=110 [TCP segment of a reassembled PDU]
    107 9.182508       192.168.1.135         192.168.1.142         TCP      54     32431 → 8009 [ACK] Seq=221 Ack=221 Win=251 Len=0
    108 10.301823      192.168.1.135         192.168.1.128         TCP      164    22275 → 8009 [PSH, ACK] Seq=221 Ack=221 Win=250 Len=110 [TCP segment of a reassembled PDU]
    109 10.303547      192.168.1.128         192.168.1.135         TCP      164    8009 → 22275 [PSH, ACK] Seq=221 Ack=331 Win=1881 Len=110 [TCP segment of a reassembled PDU]
    110 10.348170      192.168.1.135         192.168.1.128         TCP      54     22275 → 8009 [ACK] Seq=331 Ack=331 Win=250 Len=0
    111 10.572159      192.168.1.135         192.168.1.255         UDP      1462   889 → 889 Len=1420
    112 10.783878      192.168.1.135         104.18.19.125         TCP      66     22894 → 443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=256 SACK_PERM
    113 10.800261      104.18.19.125         192.168.1.135         TCP      66     443 → 22894 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1400 SACK_PERM WS=8192
    114 10.800521      192.168.1.135         104.18.19.125         TCP      54     22894 → 443 [ACK] Seq=1 Ack=1 Win=65280 Len=0
    115 10.805242      192.168.1.135         104.18.19.125         TLSv1.3  571    Client Hello (SNI=api3.cursor.sh)
    116 10.821154      104.18.19.125         192.168.1.135         TCP      60     443 → 22894 [ACK] Seq=1 Ack=518 Win=131072 Len=0
    117 10.824858      104.18.19.125         192.168.1.135         TLSv1.3  1506   Server Hello, Change Cipher Spec
    118 10.825035      104.18.19.125         192.168.1.135         TLSv1.3  1404   Application Data
    119 10.825068      192.168.1.135         104.18.19.125         TCP      54     22894 → 443 [ACK] Seq=518 Ack=2803 Win=65280 Len=0
    120 10.827692      192.168.1.135         104.18.19.125         TCP      54     22894 → 443 [FIN, ACK] Seq=518 Ack=2803 Win=65280 Len=0
    121 10.844696      104.18.19.125         192.168.1.135         TCP      60     443 → 22894 [FIN, ACK] Seq=2803 Ack=519 Win=131072 Len=0
    122 10.845021      192.168.1.135         104.18.19.125         TCP      54     22894 → 443 [ACK] Seq=519 Ack=2804 Win=65280 Len=0
    123 12.886995      192.168.1.135         100.49.175.34         TCP      55     1471 → 443 [ACK] Seq=1 Ack=1 Win=250 Len=1 [TCP segment of a reassembled PDU]
    124 13.011893      100.49.175.34         192.168.1.135         TCP      66     443 → 1471 [ACK] Seq=1 Ack=2 Win=140 Len=0 SLE=1 SRE=2
    125 13.744778      192.168.1.135         104.18.19.125         TCP      66     22895 → 443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=256 SACK_PERM
    126 13.757642      fe80::1138:e6ee:2535:242d fe80::1               DNS      94     Standard query 0x8bd4 A api2.cursor.sh
    127 13.761983      104.18.19.125         192.168.1.135         TCP      66     443 → 22895 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1400 SACK_PERM WS=8192
    128 13.762081      192.168.1.135         104.18.19.125         TCP      54     22895 → 443 [ACK] Seq=1 Ack=1 Win=65280 Len=0
    129 13.762799      fe80::1               fe80::1138:e6ee:2535:242d DNS      269    Standard query response 0x8bd4 A api2.cursor.sh CNAME api2geo.cursor.sh CNAME api2direct.cursor.sh A 32.196.156.220 A 44.196.235.223 A 3.90.124.113 A 44.195.122.65 A 54.161.14.44 A 54.88.9.34 A 3.226.196.68 A 3.213.192.136
    130 13.763933      192.168.1.135         104.18.19.125         TLSv1.3  571    Client Hello (SNI=api3.cursor.sh)
    131 13.764168      192.168.1.135         32.196.156.220        TCP      66     22896 → 443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=256 SACK_PERM
    132 13.780051      104.18.19.125         192.168.1.135         TCP      60     443 → 22895 [ACK] Seq=1 Ack=518 Win=131072 Len=0
    133 13.782184      104.18.19.125         192.168.1.135         TLSv1.3  1506   Server Hello, Change Cipher Spec
    134 13.782347      104.18.19.125         192.168.1.135         TLSv1.3  1403   Application Data
    135 13.782444      192.168.1.135         104.18.19.125         TCP      54     22895 → 443 [ACK] Seq=518 Ack=2802 Win=65280 Len=0
    136 13.786528      192.168.1.135         104.18.19.125         TCP      54     22895 → 443 [FIN, ACK] Seq=518 Ack=2802 Win=65280 Len=0
    137 13.802459      104.18.19.125         192.168.1.135         TCP      60     443 → 22895 [FIN, ACK] Seq=2802 Ack=519 Win=131072 Len=0
    138 13.803461      192.168.1.135         104.18.19.125         TCP      54     22895 → 443 [ACK] Seq=519 Ack=2803 Win=65280 Len=0
    139 13.874243      32.196.156.220        192.168.1.135         TCP      66     443 → 22896 [SYN, ACK] Seq=0 Ack=1 Win=26883 Len=0 MSS=1452 SACK_PERM WS=256
    140 13.874756      192.168.1.135         32.196.156.220        TCP      54     22896 → 443 [ACK] Seq=1 Ack=1 Win=65280 Len=0
    141 13.881249      192.168.1.135         32.196.156.220        TLSv1.3  571    Client Hello (SNI=api2.cursor.sh)
    142 13.991641      32.196.156.220        192.168.1.135         TCP      60     443 → 22896 [ACK] Seq=1 Ack=518 Win=28160 Len=0
    143 13.991641      32.196.156.220        192.168.1.135         TLSv1.3  1506   Server Hello, Change Cipher Spec, Application Data
    144 13.992324      32.196.156.220        192.168.1.135         TCP      1506   443 → 22896 [ACK] Seq=1453 Ack=518 Win=28160 Len=1452 [TCP segment of a reassembled PDU]
    145 13.992324      32.196.156.220        192.168.1.135         TLSv1.3  1506   Application Data, Application Data
    146 13.992324      32.196.156.220        192.168.1.135         TLSv1.3  70     Application Data
    147 13.992579      192.168.1.135         32.196.156.220        TCP      54     22896 → 443 [ACK] Seq=518 Ack=4373 Win=65280 Len=0
    148 14.003558      192.168.1.135         32.196.156.220        TLSv1.3  118    Change Cipher Spec, Application Data
    149 14.114932      32.196.156.220        192.168.1.135         TCP      60     443 → 22896 [ACK] Seq=4373 Ack=582 Win=28160 Len=0
    150 14.114932      32.196.156.220        192.168.1.135         TLSv1.3  233    Application Data
    151 14.115031      192.168.1.135         32.196.156.220        TLSv1.3  1323   Application Data, Application Data, Application Data
